paper_id,year,score_centered,bandwidth,accepted,openalex_cited_by_count,in_year_specific_rdd_sample,openalex_matched
B12Js_yRb,2018,-0.3336666666666668,1.333,1.0,155.0,True,True
B13njo1R-,2018,0.6663333333333332,1.333,1.0,22.0,True,True
B14TlG-RW,2018,0.6663333333333332,1.333,1.0,417.0,True,True
B18WgG-CZ,2018,0.9996666666666671,1.333,1.0,101.0,True,True
B1CNpYg0-,2018,-0.0003333333333328,1.333,0.0,67.0,True,True
B1DmUzWAW,2018,0.6663333333333332,1.333,1.0,758.0,True,True
B1EA-M-0Z,2018,-0.0003333333333328,1.333,1.0,337.0,True,True
B1EPYJ-C-,2018,-0.0003333333333328,1.333,0.0,3050.0,True,True
B1IDRdeCW,2018,0.3330000000000002,1.333,1.0,14.0,True,True
B1J_rgWRW,2018,0.6663333333333332,1.333,1.0,127.0,True,True
B1KFAGWAZ,2018,-1.0003333333333329,1.333,0.0,45.0,True,True
B1NGT8xCZ,2018,-0.3336666666666668,1.333,0.0,3.0,True,True
B1X0mzZCW,2018,0.3330000000000002,1.333,1.0,7.0,True,True
B1X4DWWRb,2018,0.9996666666666671,1.333,0.0,38.0,True,True
B1Yy1BxCZ,2018,0.6663333333333332,1.333,1.0,393.0,True,True
B1ZZTfZAW,2018,-0.6669999999999998,1.333,0.0,269.0,True,True
B1ZvaaeAZ,2018,0.6663333333333332,1.333,1.0,182.0,True,True
B1bgpzZAZ,2018,-1.0003333333333329,1.333,0.0,1.0,True,True
B1hYRMbCW,2018,-0.6669999999999998,1.333,1.0,128.0,True,True
B1hcZZ-AW,2018,0.3330000000000002,1.333,1.0,116.0,True,True
B1i7ezW0-,2018,-0.3336666666666668,1.333,0.0,2.0,True,True
B1jscMbAW,2018,0.9996666666666671,1.333,1.0,0.0,True,True
B1l8BtlCb,2018,0.9996666666666671,1.333,1.0,449.0,True,True
B1mSWUxR-,2018,-0.3336666666666668,1.333,0.0,14.0,True,True
B1nZ1weCZ,2018,0.6663333333333332,1.333,1.0,10.0,True,True
B1nxTzbRZ,2018,-1.0003333333333329,1.333,0.0,16.0,True,True
B1p461b0W,2018,-1.0003333333333329,1.333,0.0,409.0,True,True
B1spAqUp-,2018,-0.3336666666666668,1.333,0.0,31.0,True,True
B1tC-LT6W,2018,-1.0003333333333329,1.333,0.0,6.0,True,True
B1twdMCab,2018,-0.3336666666666668,1.333,0.0,63.0,True,True
B1ydPgTpW,2018,-1.0003333333333329,1.333,0.0,23.0,True,True
B1zlp1bRW,2018,1.0830000000000002,1.333,1.0,79.0,True,True
BJ6anzb0Z,2018,-0.6669999999999998,1.333,0.0,92.0,True,True
BJ8c3f-0b,2018,-0.0003333333333328,1.333,1.0,30.0,True,True
BJDH5M-AW,2018,0.6663333333333332,1.333,0.0,684.0,True,True
BJGWO9k0Z,2018,0.9996666666666671,1.333,1.0,1.0,True,True
BJMuY-gRW,2018,-0.6669999999999998,1.333,0.0,83.0,True,True
BJNRFNlRW,2018,0.9996666666666671,1.333,1.0,8.0,True,True
BJQRKzbA-,2018,0.9996666666666671,1.333,1.0,227.0,True,True
BJ_UL-k0b,2018,0.9996666666666671,1.333,1.0,167.0,True,True
BJ_wN01C-,2018,0.6663333333333332,1.333,1.0,134.0,True,True
BJij4yg0Z,2018,-0.0003333333333328,1.333,1.0,24.0,True,True
BJk59JZ0b,2018,-0.0003333333333328,1.333,1.0,1.0,True,True
BJk7Gf-CZ,2018,0.9996666666666671,1.333,1.0,56.0,True,True
BJlrSmbAZ,2018,-0.3336666666666668,1.333,0.0,105.0,True,True
BJluxbWC-,2018,-1.0003333333333329,1.333,0.0,57.0,True,True
BJuWrGW0Z,2018,0.9996666666666671,1.333,1.0,55.0,True,True
BJvWjcgAZ,2018,-0.6669999999999998,1.333,0.0,19.0,True,True
Bk346Ok0W,2018,-1.0003333333333329,1.333,0.0,1.0,True,True
Bk6qQGWRb,2018,-0.3336666666666668,1.333,0.0,,True,False
BkIkkseAZ,2018,0.3330000000000002,1.333,0.0,27.0,True,True
BkJ3ibb0-,2018,0.9996666666666671,1.333,1.0,285.0,True,True
BkLhaGZRW,2018,-0.0003333333333328,1.333,1.0,9.0,True,True
BkM27IxR-,2018,-0.0003333333333328,1.333,0.0,84.0,True,True
BkQCGzZ0-,2018,-0.6669999999999998,1.333,0.0,35.0,True,True
BkQqq0gRb,2018,0.3330000000000002,1.333,1.0,295.0,True,True
BkUp6GZRW,2018,0.3330000000000002,1.333,1.0,7.0,True,True
BkVsWbbAW,2018,0.3330000000000002,1.333,0.0,126.0,True,True
BkXmYfbAZ,2018,0.9996666666666671,1.333,1.0,20.0,True,True
BkabRiQpb,2018,0.3330000000000002,1.333,1.0,21.0,True,True
Bkl1uWb0Z,2018,-1.0003333333333329,1.333,0.0,3.0,True,True
BkrSv0lA-,2018,0.9996666666666671,1.333,1.0,57.0,True,True
BkrsAzWAb,2018,0.9996666666666671,1.333,1.0,77.0,True,True
By4HsfWAZ,2018,0.9996666666666671,1.333,1.0,,True,False
By5ugjyCb,2018,-0.6669999999999998,1.333,0.0,719.0,True,True
By9iRkWA-,2018,0.3330000000000002,1.333,0.0,18.0,True,True
ByBAl2eAZ,2018,0.9996666666666671,1.333,1.0,365.0,True,True
ByJHuTgA-,2018,0.9996666666666671,1.333,1.0,48.0,True,True
ByJWeR1AW,2018,-0.6669999999999998,1.333,0.0,81.0,True,True
ByOnmlWC-,2018,-0.0003333333333328,1.333,1.0,11.0,True,True
ByQpn1ZA-,2018,0.6663333333333332,1.333,1.0,101.0,True,True
ByS1VpgRZ,2018,0.6663333333333332,1.333,1.0,412.0,True,True
BySRH6CpW,2018,0.6663333333333332,1.333,1.0,11.0,True,True
BydjJte0-,2018,0.6663333333333332,1.333,1.0,46.0,True,True
ByeqORgAW,2018,0.3330000000000002,1.333,1.0,9.0,True,True
Byk4My-RZ,2018,-0.0003333333333328,1.333,0.0,0.0,True,True
ByqFhGZCW,2018,-0.3336666666666668,1.333,0.0,4.0,True,True
ByrZyglCb,2018,0.3330000000000002,1.333,1.0,45.0,True,True
H1-nGgWC-,2018,0.3330000000000002,1.333,1.0,90.0,True,True
H113pWZRb,2018,-0.6669999999999998,1.333,0.0,231.0,True,True
H135uzZ0-,2018,0.9996666666666671,1.333,1.0,115.0,True,True
H15odZ-C-,2018,0.3330000000000002,1.333,1.0,3.0,True,True
H18uzzWAZ,2018,-0.3336666666666668,1.333,0.0,3.0,True,True
H196sainb,2018,0.9996666666666671,1.333,1.0,252.0,True,True
H1BLjgZCb,2018,0.6663333333333332,1.333,1.0,365.0,True,True
H1DJFybC-,2018,-1.0003333333333329,1.333,0.0,49.0,True,True
H1T2hmZAb,2018,0.6663333333333332,1.333,1.0,169.0,True,True
