paper_id,arxiv_id,year,oa_citations,s2_citations,s2_venue,s2_has_pub_doi,s2_matched
ryykVe-0W,1710.0505,2018,51,,,,False
rywHCPkAW,1706.10295,2018,390,1017,International Conference on Learning Representations,False,True
rywDjg-RW,1804.01186,2018,57,178,International Conference on Learning Representations,False,True
ryup8-WCW,1804.08838,2018,63,564,International Conference on Learning Representations,False,True
rytNfI1AZ,1802.0853,2018,42,,,,False
ryserbZR-,1802.02212,2018,99,127,arXiv.org,False,True
rylSzl-R-,1706.0055,2018,75,,,,False
ryj38zWRb,1707.05776,2018,203,462,International Conference on Machine Learning,False,True
ryj0790hb,1705.04228,2018,21,307,IEEE Transactions on Pattern Analysis and Machine Intelligence,True,True
ryiAv2xAZ,1711.09325,2018,116,960,International Conference on Learning Representations,False,True
rydeCEhs-,1708.05344,2018,395,808,International Conference on Learning Representations,False,True
ryazCMbR-,1805.09317,2018,48,243,International Conference on Learning Representations,False,True
ryUlhzWCZ,1805.1124,2018,38,,,,False
ryTp3f-0-,1802.08802,2018,16,349,International Conference on Learning Representations,False,True
ryRh0bb0Z,1711.00305,2018,9,20,International Conference on Learning Representations,False,True
ryCM8zWRb,1706.03847,2018,938,975,International Conference on Information and Knowledge Management,True,True
ryBnUWb0b,1710.11122,2018,5,9,International Conference on Learning Representations,False,True
ry831QWAb,1707.04822,2018,17,24,arXiv.org,False,True
ry80wMW0W,1708.00463,2018,5,6,International Conference on Learning Representations,False,True
ry1arUgCW,1804.04012,2018,37,70,International Conference on Learning Representations,False,True
ry0WOxbRZ,1711.08646,2018,1,0,arXiv.org,False,True
ry018WZAZ,1707.05928,2018,373,481,Rep4NLP@ACL,True,True
rkrWCJWAW,1705.08209,2018,54,88,arXiv.org,False,True
rkrC3GbRW,1712.01664,2018,12,21,International Conference on Learning Representations,True,True
rkr1UDeC-,1804.03235,2018,152,455,International Conference on Learning Representations,False,True
rknt2Be0-,1804.02341,2018,36,84,International Conference on Learning Representations,False,True
rkmoiMbCb,1806.00145,2018,1,0,arXiv.org,False,True
rkfOvGbCW,1802.10542,2018,26,106,International Conference on Learning Representations,False,True
rkeZRGbRW,1707.00309,2018,5,7,arXiv.org,False,True
rkdU7tCaZ,1709.07432,2018,61,148,International Conference on Machine Learning,False,True
rkcya1ZAW,1709.01179,2018,22,62,International Conference on Machine Learning,False,True
rkaqxm-0b,1808.09942,2018,23,23,Conference on Empirical Methods in Natural Language Processing,True,True
rkZvSe-RZ,1705.07204,2018,1867,3051,International Conference on Learning Representations,False,True
rkZB1XbRZ,1802.08908,2018,249,723,International Conference on Learning Representations,False,True
rkQkBnJAb,1803.05573,2018,46,345,International Conference on Learning Representations,False,True
rkO3uTkAZ,1803.015,2018,20,,,,False
rkN2Il-RZ,1707.03389,2018,58,53,arXiv.org,False,True
rkLyJl-0-,1712.03298,2018,3,21,International Conference on Learning Representations,False,True
rkGZuJb0b,1711.03357,2018,6,10,British Machine Vision Conference,False,True
rkA1f3NpZ,1709.03423,2018,77,149,arXiv.org,False,True
rk6cfpRjZ,1709.05027,2018,104,144,International Conference on Learning Representations,False,True
rJzIBfZAb,1706.06083,2018,1541,15115,International Conference on Learning Representations,False,True
rJwelMbR-,1711.09874,2018,13,135,International Conference on Learning Representations,False,True
rJvJXZb0W,1803.02893,2018,303,578,International Conference on Learning Representations,False,True
rJma2bZCW,1711.04623,2018,251,545,arXiv.org,False,True
rJm7VfZA-,1802.00899,2018,7,50,International Conference on Learning Representations,False,True
rJlMAAeC-,1802.02696,2018,9,14,International Conference on Learning Representations,False,True
rJl3yM-Ab,1711.05116,2018,108,166,International Conference on Learning Representations,False,True
rJiaRbk0-,1806.02988,2018,38,51,International Conference on Machine Learning,False,True
rJg4YGWRb,1803.03735,2018,252,385,arXiv.org,False,True
rJaE2alRW,1703.04122,2018,50,163,International Conference on Machine Learning,False,True
rJXMpikCZ,1710.10903,2018,8340,27156,International Conference on Learning Representations,True,True
rJNpifWAb,1803.04386,2018,177,350,International Conference on Learning Representations,False,True
rJ7yZ2P6-,1802.02614,2018,27,24,arXiv.org,False,True
r1wEFyWCW,1710.10304,2018,40,90,International Conference on Learning Representations,False,True
r1uOhfb0W,1803.00184,2018,0,0,arXiv.org,False,True
r1q7n9gAb,1710.10345,2018,15,1142,Journal of machine learning research,True,True
r1lUOzWCW,1801.01401,2018,99,2094,International Conference on Learning Representations,False,True
r1l4eQW0Z,1705.10119,2018,7,3,arXiv.org,False,True
r1kNDlbCb,1810.02851,2018,62,67,Conference on Empirical Methods in Natural Language Processing,True,True
r1gs9JgRZ,1710.0374,2018,880,,,,False
r1drp-WCZ,1711.11179,2018,29,47,arXiv.org,False,True
r1dHXnH6-,1709.04348,2018,193,278,International Conference on Learning Representations,False,True
r1ZdKJ-0W,1707.03815,2018,189,778,International Conference on Learning Representations,False,True
r1YqWz-R-,1808.05599,2018,55,58,IEEE/ACM Transactions on Audio Speech and Language Processing,True,True
r1VVsebAZ,1803.00338,2018,25,,,,False
r1TA9ZbA-,1802.04697,2018,28,96,International Conference on Machine Learning,False,True
r1SuFjkRW,1705.05035,2018,70,135,arXiv.org,False,True
r1RF3ExCb,1801.09819,2018,20,88,International Conference on Machine Learning,False,True
r1Ddp1-Rb,1710.09412,2018,4760,12038,International Conference on Learning Representations,False,True
r1DPFCyA-,1706.00326,2018,41,71,arXiv.org,False,True
r17lFgZ0Z,1706.09799,2018,183,232,arXiv.org,False,True
r17Q6WWA-,1711.00111,2018,11,13,arXiv.org,False,True
r154_g-Rb,1803.00512,2018,27,68,International Conference on Machine Learning,False,True
r11Q2SlRW,1707.05363,2018,16,48,arXiv.org,False,True
