paper_id,year,citations,influential,source,tier,matched_by,title_sim,author_overlap,s2_paper_id,s2_corpus_id,fetched_window
ByUEelW0-,2018,1.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.7778,1.0,22498a0f949b7f11fa2b8d8001ff86053fb0333e,233481534.0,2026-08-14..2026-08-16
BySRH6CpW,2018,92.0,13.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,15698db8c6b08891c8ab8b75a2738cad04c7b25b,44981793.0,2026-08-14..2026-08-16
ByS1VpgRZ,2018,829.0,153.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,ab559473a01836e72b9fb9393d6e07c5745528f3,3633127.0,2026-08-14..2026-08-16
ByRWCqvT-,2018,247.0,37.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,495582032e8467dc31c59772d690b2a079fcbb4f,3527879.0,2026-08-14..2026-08-16
ByQpn1ZA-,2018,218.0,23.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,471908e99d6965f0f6d249c9cd013485dc2b21df,3398677.0,2026-08-14..2026-08-16
ByOoMSgRW,2018,12.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,9.0,3d5c189f522f68de8a5f5e2e1f498de392a5e0b1,27771375.0,2026-08-14..2026-08-16
ByOnmlWC-,2018,19.0,3.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,0.5429,2.0,1cb5791f6b2eb66dcef6b5bc95f3863cc80c1f80,19326248.0,2026-08-14..2026-08-16
ByOfBggRZ,2018,227.0,28.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,5f85a8eaa7a1a1686f5a2bf721c63e337f03d8eb,3524955.0,2026-08-14..2026-08-16
ByOExmWAb,2018,489.0,35.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,7f4afc1bf3272ae6ec00b46e27efc4a4f6b0826d,3655946.0,2026-08-14..2026-08-16
ByJWeR1AW,2018,167.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,1.0,5a118cc15a3b3be19af4f2ea72c1dcb77e5f755b,51894279.0,2026-08-14..2026-08-16
ByJHuTgA-,2018,557.0,43.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,2397ce306e5d7f3d0492276e357fb1833536b5d8,33513311.0,2026-08-14..2026-08-16
ByJDAIe0b,2018,10.0,1.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,937ef8458f08073b721b1534fe4c1a67bb078ab1,46930202.0,2026-08-14..2026-08-16
ByBAl2eAZ,2018,691.0,57.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,8.0,142497432fe179ddb6ffe600c64a837ec6179550,2971655.0,2026-08-14..2026-08-16
By9iRkWA-,2018,22.0,5.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,4.0,55f4fd0fa6335720df9bd74ce4102a8656c9592c,1679521.0,2026-08-14..2026-08-16
By5ugjyCb,2018,1131.0,181.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,49e60f82d6ae835c56473464f67ca5c11d3e95ec,21721698.0,2026-08-14..2026-08-16
By4HsfWAZ,2018,365.0,23.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,2581b3e44592b3b3741474c8d6f483a90c29f139,2808403.0,2026-08-14..2026-08-16
BkwHObbRZ,2018,267.0,20.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,136d8b08d38a5c4829449b87bad6bad675ca8c71,3485693.0,2026-08-14..2026-08-16
BkrsAzWAb,2018,284.0,39.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,5.0,512ca06114f5292f7d0b536ce030e319863c781a,3508234.0,2026-08-14..2026-08-16
BkrSv0lA-,2018,136.0,11.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,d18cc16563b9e2cef58bbc2a9d212b0ca72de36c,3520830.0,2026-08-14..2026-08-16
BkoXnkWAb,2018,18.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,20843b0faf339d19e81e11801d4b4c24d9cf1108,3904215.0,2026-08-14..2026-08-16
Bkl1uWb0Z,2018,22.0,0.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,470bfbde1dc0ed6ca989957dcd551213720657c0,44108645.0,2026-08-14..2026-08-16
BkisuzWRW,2018,330.0,25.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,10.0,9217c4aa5a95d3209d2071e6889c8dd4b7d9309e,5037032.0,2026-08-14..2026-08-16
Bki4EfWCb,2018,312.0,38.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,3.0,5f3aaee0f9d870d4cbe78f54f81416dcce891309,3524184.0,2026-08-14..2026-08-16
BkeqO7x0-,2018,67.0,6.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,6.0,b589b9f10258efb5404f06693c659d68e67929d3,631460.0,2026-08-14..2026-08-16
BkabRiQpb,2018,66.0,7.0,s2_api_2026-08-14..2026-08-16,A,arxiv_id,1.0,2.0,596ca16325dd72c0fcc186389fdd0280b49bbefb,3684156.0,2026-08-14..2026-08-16
