paper_id,year,decile,citation_pct_rank,gen_chars,ref_chars,rougeL_target,rougeL_decoy_mean,rougeL_decoy_max,rougeL_margin,lcs_target,lcs_decoy_mean,eight_target,eight_decoy_mean,eight_decoy_max,extractable
rJ695PxRW,2018,0,0.0443,841,1172,0.1742,0.1549,0.1754,0.0193,0.0309,0.0205,0.0000,0.0000,0.0000,0
SJl8gnAqtX,2019,0,0.0427,760,1267,0.1103,0.1207,0.1451,-0.0104,0.0197,0.0218,0.0000,0.0000,0.0000,0
rklj3gBYvH,2020,0,0.0481,885,1133,0.2020,0.1440,0.1546,0.0580,0.0520,0.0174,0.0000,0.0000,0.0000,0
rJlg1n05YX,2019,0,0.0325,749,1288,0.1433,0.1331,0.1606,0.0102,0.0214,0.0214,0.0000,0.0000,0.0000,0
r1saNM-RW,2018,0,0.0784,890,933,0.2132,0.1509,0.2383,0.0624,0.0236,0.0148,0.0000,0.0000,0.0000,0
HJex0o05F7,2019,0,0.0325,615,547,0.1404,0.1245,0.1561,0.0159,0.0228,0.0254,0.0000,0.0000,0.0000,0
Bki1Ct1AW,2018,0,0.0287,796,932,0.2008,0.1578,0.1789,0.0430,0.0440,0.0173,0.0000,0.0000,0.0000,0
SkeUG30cFQ,2019,0,0.0325,485,595,0.2515,0.1263,0.1478,0.1252,0.0454,0.0313,0.0000,0.0000,0.0000,0
B1ethsR9Ym,2019,0,0.0726,644,571,0.2428,0.1491,0.1711,0.0937,0.0311,0.0295,0.0000,0.0000,0.0000,0
rJlcV2Actm,2019,0,0.0325,723,1431,0.2138,0.1355,0.1530,0.0784,0.0290,0.0210,0.0000,0.0000,0.0000,0
HyMuaiAqY7,2019,0,0.0726,822,793,0.2835,0.1380,0.1607,0.1454,0.0401,0.0178,0.0000,0.0000,0.0000,0
HJgJS30qtm,2019,0,0.0325,685,693,0.1827,0.1372,0.2231,0.0455,0.0394,0.0216,0.0000,0.0000,0.0000,0
Bkxdqj0cFQ,2019,0,0.0325,746,770,0.1991,0.1394,0.1576,0.0597,0.0295,0.0161,0.0000,0.0000,0.0000,0
rklEUjR5tm,2019,0,0.0325,820,1407,0.1731,0.1200,0.1362,0.0531,0.0354,0.0156,0.0000,0.0000,0.0000,0
Byldr3RqKX,2019,0,0.0325,805,721,0.1991,0.1423,0.1605,0.0568,0.0236,0.0169,0.0000,0.0000,0.0000,0
SyqAPeWAZ,2018,0,0.0667,800,765,0.1721,0.1482,0.1880,0.0240,0.0225,0.0202,0.0000,0.0000,0.0000,0
H1lUOsA9Fm,2019,0,0.0726,678,878,0.1266,0.1414,0.1719,-0.0148,0.0251,0.0277,0.0000,0.0000,0.0000,0
SJl7DsR5YQ,2019,0,0.0552,663,1688,0.1604,0.1698,0.1921,-0.0094,0.0226,0.0278,0.0000,0.0000,0.0000,0
rJx8ylSKvr,2020,0,0.0481,960,1366,0.2063,0.1625,0.1800,0.0438,0.0312,0.0140,0.0000,0.0000,0.0000,0
SJtChcgAW,2018,0,0.0287,651,748,0.2535,0.1343,0.1674,0.1192,0.0246,0.0240,0.0000,0.0000,0.0000,0
ByuP8yZRb,2018,0,0.0287,643,1187,0.1978,0.1398,0.1554,0.0580,0.0669,0.0299,0.0000,0.0000,0.0000,0
B1kIr-WRb,2018,0,0.0479,504,1054,0.1597,0.1542,0.1824,0.0055,0.0357,0.0508,0.0000,0.0000,0.0000,0
Hyghb2Rct7,2019,0,0.0552,770,1639,0.1853,0.1490,0.1586,0.0363,0.0338,0.0210,0.0000,0.0000,0.0000,0
B1MX5j0cFX,2019,0,0.0325,596,1275,0.2071,0.1430,0.1614,0.0642,0.0403,0.0221,0.0000,0.0000,0.0000,0
BJaU__eCZ,2018,0,0.0443,772,1285,0.2041,0.1618,0.1757,0.0423,0.0518,0.0324,0.0000,0.0000,0.0000,0
HkgnpiR9Y7,2019,0,0.0726,637,1465,0.2310,0.1731,0.1928,0.0579,0.0455,0.0308,0.0000,0.0000,0.0000,0
BJEOOsCqKm,2019,0,0.0325,838,1258,0.1650,0.1485,0.1772,0.0165,0.0274,0.0186,0.0000,0.0000,0.0000,0
SyzjBiR9t7,2019,0,0.0325,654,1691,0.1948,0.1387,0.1531,0.0561,0.0382,0.0278,0.0000,0.0000,0.0000,0
rJl6M2C5Y7,2019,0,0.0325,847,1032,0.1293,0.1451,0.1825,-0.0158,0.0272,0.0227,0.0000,0.0000,0.0000,0
BkG5SjR5YQ,2019,1,0.1032,875,1002,0.1612,0.1308,0.1494,0.0304,0.0354,0.0158,0.0000,0.0000,0.0000,0
rJgQkT4twH,2020,1,0.1000,585,943,0.1586,0.1385,0.1626,0.0201,0.0479,0.0294,0.0000,0.0000,0.0000,0
rJG8asRqKX,2019,1,0.1603,698,1065,0.1811,0.1135,0.1275,0.0676,0.0344,0.0206,0.0000,0.0000,0.0000,0
B1x5KiCcFX,2019,1,0.1032,418,947,0.1765,0.1204,0.1402,0.0561,0.0502,0.0364,0.0000,0.0000,0.0000,0
H1e6ij0cKQ,2019,1,0.1032,591,862,0.1888,0.1514,0.1649,0.0374,0.0305,0.0362,0.0000,0.0000,0.0000,0
HJGcNz-0W,2018,1,0.1634,725,730,0.2133,0.1535,0.1803,0.0599,0.0428,0.0309,0.0000,0.0000,0.0000,0
HyxOIoRqFQ,2019,1,0.1603,642,1371,0.2027,0.1686,0.2222,0.0341,0.0545,0.0259,0.0000,0.0000,0.0000,0
Syt0r4bRZ,2018,1,0.1301,568,502,0.3464,0.1458,0.1719,0.2006,0.0933,0.0285,0.0000,0.0000,0.0000,0
B1nLkl-0Z,2018,1,0.1179,566,912,0.1966,0.1502,0.1818,0.0464,0.0300,0.0276,0.0000,0.0000,0.0000,0
HyxjwgbRZ,2018,1,0.1865,478,741,0.2280,0.1391,0.1498,0.0889,0.0439,0.0289,0.0000,0.0000,0.0000,0
BJxRVnC5Fm,2019,1,0.1032,454,503,0.1842,0.1426,0.1935,0.0416,0.0374,0.0396,0.0000,0.0000,0.0000,0
SJxE3jlA-,2018,1,0.1179,645,609,0.1753,0.1228,0.1350,0.0524,0.0372,0.0366,0.0000,0.0000,0.0000,0
rkxtl3C5YX,2019,0,0.0552,601,1649,0.1257,0.1557,0.1811,-0.0300,0.0399,0.0300,0.0000,0.0000,0.0000,0
S1lPShAqFm,2019,1,0.1032,583,870,0.1574,0.1638,0.1957,-0.0063,0.0446,0.0271,0.0000,0.0000,0.0000,0
rJzoujRct7,2019,1,0.1948,405,591,0.2236,0.1265,0.1511,0.0971,0.0667,0.0538,0.0000,0.0000,0.0000,0
rJxtgJBKDr,2020,1,0.1378,734,971,0.2179,0.1191,0.1519,0.0988,0.0436,0.0180,0.0000,0.0000,0.0000,0
H1lIzhC9FX,2019,1,0.1032,568,700,0.1768,0.1158,0.1277,0.0610,0.0423,0.0208,0.0000,0.0000,0.0000,0
B1EVwkqTW,2018,1,0.1258,581,941,0.1878,0.1441,0.1818,0.0436,0.0516,0.0299,0.0000,0.0000,0.0000,0
HkGSniC9FQ,2019,1,0.1603,586,845,0.2202,0.1566,0.1928,0.0636,0.0444,0.0256,0.0000,0.0000,0.0000,0
B1GIB3A9YX,2019,1,0.1364,578,617,0.1486,0.1296,0.1575,0.0189,0.0415,0.0308,0.0000,0.0000,0.0000,0
BJgd7m0xRZ,2018,1,0.1258,736,1256,0.1678,0.1353,0.1532,0.0326,0.0516,0.0285,0.0000,0.0000,0.0000,0
Skx5txzb0W,2018,1,0.1258,500,375,0.1727,0.1434,0.1682,0.0293,0.0700,0.0336,0.0000,0.0000,0.0000,0
HkzOWnActX,2019,1,0.1032,741,863,0.2185,0.1236,0.1408,0.0948,0.0391,0.0162,0.0000,0.0000,0.0000,0
rkeYUsRqKQ,2019,1,0.1951,606,1116,0.1712,0.1586,0.1846,0.0126,0.0347,0.0244,0.0000,0.0000,0.0000,0
ryza73R9tQ,2019,1,0.1951,538,1227,0.1805,0.1499,0.1990,0.0306,0.0651,0.0342,0.0000,0.0000,0.0000,0
HyI5ro0pW,2018,1,0.1258,952,789,0.1984,0.1484,0.1846,0.0500,0.0378,0.0183,0.0000,0.0000,0.0000,0
rygVV205KQ,2019,1,0.1948,760,1251,0.1622,0.1269,0.1509,0.0352,0.0303,0.0200,0.0000,0.0000,0.0000,0
ryeX-nC9YQ,2019,2,0.2873,569,921,0.2193,0.1452,0.1595,0.0741,0.0492,0.0264,0.0000,0.0000,0.0000,0
ryeFzT4YPr,2020,2,0.2500,673,1163,0.1723,0.1476,0.1974,0.0247,0.0267,0.0211,0.0000,0.0000,0.0000,0
SkgE8sRcK7,2019,2,0.2435,529,704,0.2959,0.1345,0.1949,0.1614,0.0548,0.0302,0.0000,0.0000,0.0000,0
Skl3M20qYQ,2019,1,0.1624,538,929,0.2140,0.1272,0.1474,0.0868,0.0799,0.0338,0.0000,0.0000,0.0000,0
S1GUgxgCW,2018,2,0.2260,511,673,0.3094,0.1576,0.1773,0.1518,0.0959,0.0270,0.0000,0.0000,0.0000,0
SkfhIo0qtQ,2019,2,0.2400,724,825,0.1786,0.1014,0.1245,0.0772,0.0401,0.0243,0.0000,0.0000,0.0000,0
Hye6uoC9tm,2019,1,0.1364,894,709,0.1614,0.1299,0.1525,0.0315,0.0291,0.0172,0.0000,0.0000,0.0000,0
rJTutzbA-,2018,2,0.2947,527,1432,0.1356,0.1325,0.1584,0.0031,0.0361,0.0273,0.0000,0.0000,0.0000,0
SJ19eUg0-,2018,2,0.2947,561,693,0.2099,0.1327,0.1448,0.0773,0.0570,0.0289,0.0000,0.0000,0.0000,0
ryfaViR9YX,2019,2,0.2222,625,620,0.1895,0.1526,0.1693,0.0369,0.0272,0.0240,0.0000,0.0000,0.0000,0
r1gNni0qtm,2019,2,0.2873,627,735,0.1878,0.1376,0.1613,0.0501,0.0319,0.0242,0.0000,0.0000,0.0000,0
SkVe3iA9Ym,2019,2,0.2987,847,870,0.1992,0.1106,0.1255,0.0886,0.0366,0.0238,0.0000,0.0000,0.0000,0
rJlpUiAcYX,2019,1,0.1960,514,205,0.1593,0.1407,0.1769,0.0186,0.0486,0.0268,0.0000,0.0000,0.0000,0
rkglZyHtvH,2020,2,0.2147,663,937,0.2510,0.1624,0.1920,0.0886,0.0377,0.0308,0.0000,0.0000,0.0000,0
ByCPHrgCW,2018,2,0.2163,861,798,0.1579,0.1291,0.1463,0.0288,0.0279,0.0181,0.0000,0.0000,0.0000,0
rkw-jlb0W,2018,2,0.2911,777,1128,0.1544,0.1631,0.2174,-0.0087,0.0232,0.0268,0.0000,0.0000,0.0000,0
BygrtoC9Km,2019,2,0.2548,551,973,0.2044,0.1204,0.1538,0.0841,0.0599,0.0225,0.0000,0.0000,0.0000,0
BJzmzn0ctX,2019,1,0.1032,621,1668,0.1823,0.1602,0.1969,0.0222,0.0354,0.0219,0.0000,0.0000,0.0000,0
rklz16Vtvr,2020,2,0.2660,915,1115,0.1862,0.1406,0.2134,0.0456,0.0470,0.0216,0.0000,0.0000,0.0000,0
B1mvVm-C-,2018,2,0.2736,507,765,0.2126,0.1979,0.2093,0.0147,0.0355,0.0359,0.0000,0.0000,0.0000,0
ryeG924twB,2020,2,0.2656,605,1448,0.1841,0.1438,0.1826,0.0403,0.0397,0.0364,0.0000,0.0000,0.0000,0
B1g29oAqtm,2019,2,0.2435,761,725,0.1964,0.1345,0.1456,0.0619,0.0604,0.0210,0.0000,0.0000,0.0000,0
r1Nb5i05tX,2019,2,0.2548,719,1165,0.1558,0.1471,0.1858,0.0088,0.0278,0.0223,0.0000,0.0000,0.0000,0
Byxz4n09tQ,2019,2,0.2873,757,1083,0.1845,0.1650,0.2130,0.0195,0.0410,0.0246,0.0000,0.0000,0.0000,0
Hk3ddfWRW,2018,2,0.2736,593,1079,0.1853,0.1494,0.1981,0.0359,0.0354,0.0277,0.0000,0.0000,0.0000,0
