probe,probe_id,year_asked,answer,p_accept,p_reject,p_unknown,lap,ud
fabricated,fake_001,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,B1NGT8xCZ,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,SJa1Nk10b,2019,rejected,0.000000,1.000000,0.000000,1.000000,-1.000000
fabricated,fake_002,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_000,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_007,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_005,2019,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
fabricated,fake_011,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_004,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_008,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_006,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_009,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_012,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_010,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_016,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_014,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_015,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_019,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_018,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_017,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_021,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_003,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_020,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_024,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_023,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_025,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_026,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_013,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_022,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_027,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_029,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
fabricated,fake_028,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,ryvxcPeAb,2019,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
wrong_year,HyHmGyZCZ,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,Byj54-bAW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,S1EzRgb0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,rk3pnae0b,2019,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
wrong_year,SJiHOSeR-,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,HJGcNz-0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,HJSA_e1AW,2019,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
wrong_year,H15odZ-C-,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,SJky6Ry0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,rk3mjYRp-,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,rywDjg-RW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,SJ-C6JbRW,2019,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
wrong_year,HJCXZQbAZ,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,S1WRibb0Z,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,rk3b2qxCW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,BJk59JZ0b,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,S1JHhv6TW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,ryzm6BATZ,2019,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
wrong_year,r1nmx5l0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,HJNMYceCW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,Syhr6pxCW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,r1l4eQW0Z,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,HkJ1rgbCb,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,rywHCPkAW,2019,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
wrong_year,SyMvJrdaW,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,ry80wMW0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
wrong_year,ryykVe-0W,2019,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
