paper_id,year,citation_pct_rank,answer,p_high,p_low,p_unknown,fame,fame_ud
ryvxcPeAb,2018,0.1865342163355408,high,1.000000,0.000000,0.000000,1.000000,1.000000
rywHCPkAW,2018,0.9716981132075472,high,1.000000,0.000000,0.000000,1.000000,1.000000
ryzm6BATZ,2018,nan,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rywDjg-RW,2018,0.652317880794702,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryykVe-0W,2018,0.630242825607064,low,0.000000,1.000000,0.000001,1.000000,-1.000000
B1NGT8xCZ,2018,0.1633554083885209,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rk3pnae0b,2018,0.1917808219178082,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJa1Nk10b,2018,0.2406181015452538,low,0.000000,0.999997,0.000003,0.999997,-0.999997
HkJ1rgbCb,2018,0.1179245283018868,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJGcNz-0W,2018,0.1633554083885209,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HyHmGyZCZ,2018,0.047945205479452,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1nmx5l0W,2018,0.0443037974683544,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
S1EzRgb0W,2018,0.0286975717439293,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Byj54-bAW,2018,0.1258278145695364,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJiHOSeR-,2018,0.1745283018867924,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
BJGWO9k0Z,2018,0.0783664459161147,low,0.000000,0.999999,0.000001,0.999999,-0.999999
HJCXZQbAZ,2018,0.2260273972602739,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H15odZ-C-,2018,0.1582278481012658,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJ-C6JbRW,2018,0.1917808219178082,low,0.000000,1.000000,0.000000,1.000000,-1.000000
rk3b2qxCW,2018,0.0377358490566037,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1EVwkqTW,2018,0.1258278145695364,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJNMYceCW,2018,0.2452830188679245,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rkLyJl-0-,2018,0.1633554083885209,low,0.000000,1.000000,0.000000,1.000000,-1.000000
S1JHhv6TW,2018,0.2163355408388521,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
BJk59JZ0b,2018,0.1179245283018868,low,0.000000,0.999997,0.000003,0.999997,-0.999997
H1eJxngCW,2018,0.3219178082191781,low,0.000000,1.000000,0.000000,1.000000,-1.000000
SkOb1Fl0Z,2018,0.3112582781456953,low,0.000000,0.999997,0.000003,0.999997,-0.999997
ry80wMW0W,2018,0.2452830188679245,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
BybQ7zWCb,2018,0.3227848101265823,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
H1wt9x-RW,2018,0.3112582781456953,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1l4eQW0Z,2018,0.2516556291390728,low,0.000000,0.999984,0.000016,0.999984,-0.999984
S16FPMgRZ,2018,0.3498896247240618,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SyMvJrdaW,2018,0.1258278145695364,low,0.000000,1.000000,0.000000,1.000000,-1.000000
HkGJUXb0-,2018,0.4050772626931567,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJGY8GbR-,2018,0.3498896247240618,low,0.000000,0.999955,0.000046,0.999955,-0.999955
Sy3XxCx0Z,2018,0.4931506849315068,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
S1HlA-ZAZ,2018,0.360759493670886,low,0.000000,1.000000,0.000000,1.000000,-1.000000
SJCPLLpaW,2018,0.3785871964679911,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Syhr6pxCW,2018,0.2088607594936709,low,0.000000,1.000000,0.000000,1.000000,-1.000000
ry831QWAb,2018,0.3918322295805739,low,0.000000,1.000000,0.000000,1.000000,-1.000000
SJvrXqvaZ,2018,0.4481132075471698,unknown,0.000000,0.000001,0.999999,0.000001,-0.000001
