paper_id,year,decision,answer,p_accept,p_reject,p_unknown,lap,ud
SJa1Nk10b,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1NGT8xCZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJGcNz-0W,2018,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
S1EzRgb0W,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HyHmGyZCZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Byj54-bAW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rk3pnae0b,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJiHOSeR-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rywHCPkAW,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
ryvxcPeAb,2018,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
ryzm6BATZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryykVe-0W,2018,Reject,rejected,0.000000,1.000000,0.000000,1.000000,-1.000000
rywDjg-RW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJSA_e1AW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJky6Ry0W,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H15odZ-C-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rk3mjYRp-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
S1WRibb0Z,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJ-C6JbRW,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
BJk59JZ0b,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1nmx5l0W,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rk3b2qxCW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJCXZQbAZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkJ1rgbCb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
S1JHhv6TW,2018,Accept (Oral),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJNMYceCW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1l4eQW0Z,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SyMvJrdaW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Syhr6pxCW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ry80wMW0W,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkLyJl-0-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1EVwkqTW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJGY8GbR-,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SkOb1Fl0Z,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1wt9x-RW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
BJGWO9k0Z,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
BybQ7zWCb,2018,Reject,rejected,0.000000,1.000000,0.000000,1.000000,-1.000000
S16FPMgRZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1eJxngCW,2018,Invite to Workshop Track,rejected,0.000003,0.999997,0.000000,1.000000,-0.999995
Sy3XxCx0Z,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkGJUXb0-,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJk51gJRb,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJCPLLpaW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ry831QWAb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJvrXqvaZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Skj8Kag0Z,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rJYFzMZC-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
S1HlA-ZAZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJm7VfZA-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Hksj2WWAW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJJ23bW0b,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1mvVm-C-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJQHjzZ0-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HklpCzC6-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJyEH91A-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkMvEOlAb,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SksY3deAW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
r1YqWz-R-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Hk0wHx-RW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1KFAGWAZ,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ByJWeR1AW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkepKG-Rb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rk4Fz2e0b,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1DPFCyA-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1rRWl-Cb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1hsJCe0Z,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Bki4EfWCb,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ry1arUgCW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryazCMbR-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HyMTkQZAb,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
HJzgZ3JCW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SygwwGbRW,2018,Accept (Poster),unknown,0.000001,0.000000,0.999999,0.000001,0.000001
HyfHgI6aW,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1q7n9gAb,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rknt2Be0-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1bM1fZCW,2018,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
ByJHuTgA-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HyyP33gAZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkfXMz-Ab,2018,Accept (Oral),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkN2Il-RZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Sy1f0e-R-,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
ryj38zWRb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
BJJ9bz-0-,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
By5ugjyCb,2018,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
r1Oen--RW,2018,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
Syx6bz-Ab,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HJsjkMb0Z,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
BJInEZsTb,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1ZvaaeAZ,2018,Accept (Poster),rejected,0.000000,1.000000,0.000000,1.000000,-1.000000
ryZ283gAZ,2018,Invite to Workshop Track,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H113pWZRb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJBiunlAW,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJ_aoCyRZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJiHXGWAZ,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
ByBAl2eAZ,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
SJJinbWRZ,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
SkhQHMW0W,2018,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
Sy0GnUxCb,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkhlb8lCZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkZvSe-RZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJg4YGWRb,2018,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJl3yM-Ab,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkx0g3R5tX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1eXbn05t7,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
By-7dz-AZ,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1lS8oA5YQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HyxpNnRcFX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJgJS30qtm,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
rylSzl-R-,2018,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SkGtjjR5t7,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJlJ-2CqtX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SkeUG30cFQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SygK6sA5tX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1gRCiA5Ym,2019,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
rkMW1hRqKX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkElFj0qYQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJggZnRcFQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rJgTTjA9tX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SJe8DsR9tm,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkgoyn09KQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HylTXn0qYX,2019,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
S1EERs09YQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Sklsm20ctX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1GMDsR5tm,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
S1xNb2A9YX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1g0piA9tQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1fpDsAqt7,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkgpCoRctm,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HJG7m2AcF7,2019,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
SJgiNo0cKX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
HkgDTiCctQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
Ske7ToC5Km,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
r1MSBjA9Ym,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
SJzYdsAqY7,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rylxxhRctX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ByeLBj0qFQ,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1G5ViAqFm,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HkekMnR5Ym,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,-0.000000
B1exrnCcF7,2019,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
HJfwJ2A5KX,2019,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
HkxjYoCqKX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
B1gstsCqt7,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkemqsC9Fm,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
SygQvs0cFQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
Hyed4i05KX,2019,Reject,unknown,0.000000,0.000000,1.000000,0.000000,0.000000
H1zeHnA9KX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
rkevMnRqYQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
BJg9DoR9t7,2019,Accept (Poster),accepted,1.000000,0.000000,0.000000,1.000000,1.000000
HkgSEnA5KQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ryGfnoC5KQ,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
HyM7AiA5YX,2019,Accept (Poster),unknown,0.000000,0.000000,1.000000,0.000000,0.000000
ryeNPi0qKX,2019,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
rJlRKjActQ,2019,Reject,accepted,1.000000,0.000000,0.000000,1.000000,1.000000
