paper_id,year,lap,openalex_citations,score_original,score_masked,masked_abstract_chars
B1NGT8xCZ,2018,0.000000,3.0,7.0,6.0,1201
SJa1Nk10b,2018,0.000000,6.0,7.0,6.0,1486
S1EzRgb0W,2018,0.000000,0.0,3.0,4.0,765
HyHmGyZCZ,2018,0.000000,0.0,3.0,3.0,1434
HJGcNz-0W,2018,1.000000,3.0,6.0,4.0,1302
rkgNKkHtvB,2020,1.000000,323.0,9.0,8.0,1085
rkx3-04FwB,2020,1.000000,8.0,7.0,5.0,1378
rJx1Na4Fwr,2020,1.000000,66.0,7.0,7.0,1085
SJ-C6JbRW,2018,1.000000,3.0,6.0,4.0,878
SkxXg2C5FX,2019,0.999999,24.0,6.0,4.0,1395
rkgvXlrKwH,2020,1.000000,32.0,7.0,5.0,1144
BybQ7zWCb,2018,1.000000,11.0,5.0,3.0,1333
rJlRKjActQ,2019,1.000000,29.0,8.0,7.0,1650
rygePJHYPH,2020,1.000000,14.0,7.0,5.0,1367
SkhQHMW0W,2018,1.000000,647.0,9.0,8.0,1774
rkezdaEtvH,2020,1.000000,55.0,6.0,6.0,983
rygwLgrYPB,2020,1.000000,8.0,5.0,5.0,1182
B1l6qiR5F7,2019,1.000000,80.0,8.0,6.0,1068
ryvxcPeAb,2018,1.000000,4.0,7.0,5.0,1450
BJg9DoR9t7,2019,1.000000,12.0,7.0,6.0,1386
ByBAl2eAZ,2018,1.000000,368.0,8.0,5.0,983
HyMTkQZAb,2018,1.000000,48.0,8.0,8.0,1174
B1ZvaaeAZ,2018,1.000000,183.0,6.0,5.0,1364
r1gRCiA5Ym,2019,1.000000,1.0,6.0,6.0,1478
rJxqZkSFDB,2020,1.000000,9.0,6.0,7.0,1166
rygvFyrKwH,2020,1.000000,76.0,7.0,3.0,891
HJfwJ2A5KX,2019,1.000000,5.0,7.0,4.0,859
By5ugjyCb,2018,1.000000,720.0,8.0,6.0,1477
B1xsqj09Fm,2019,1.000000,2430.0,10.0,9.0,1138
rylBK34FDS,2020,1.000000,13.0,6.0,6.0,1412
rygjmpVFvB,2020,1.000000,2.0,4.0,5.0,1311
rkxNelrKPB,2020,1.000000,7.0,7.0,7.0,1009
SJiHXGWAZ,2018,1.000000,504.0,8.0,6.0,1220
HJG7m2AcF7,2019,1.000000,8.0,6.0,5.0,1224
r1l73iRqKm,2019,1.000000,481.0,8.0,8.0,1218
rkxs0yHFPH,2020,1.000000,13.0,6.0,6.0,1654
H1bM1fZCW,2018,1.000000,455.0,8.0,6.0,1280
SklVEnR5K7,2019,1.000000,377.0,8.0,7.0,1156
rkg-TJBFPB,2020,1.000000,34.0,7.0,7.0,1219
HyxnZh0ct7,2019,1.000000,151.0,8.0,7.0,1445
rygf-kSYwH,2020,1.000000,36.0,9.0,3.0,1127
rJgVwTVtvS,2020,1.000000,28.0,7.0,6.0,1003
rkeYL1SFvH,2020,1.000000,146.0,8.0,7.0,1169
rygGQyrFvH,2020,1.000000,1111.0,10.0,9.0,1571
ryeUg0VFwr,2020,1.000000,48.0,8.0,6.0,1116
rywHCPkAW,2018,1.000000,390.0,9.0,8.0,874
ryg7vA4tPB,2020,1.000000,120.0,8.0,7.0,1467
rJlnOhVYPS,2020,1.000000,394.0,7.0,7.0,1382
r1GkMhAqYm,2019,1.000000,55.0,6.0,7.0,1249
rkeIq2VYPr,2020,1.000000,2.0,5.0,6.0,1446
rJx4p3NYDB,2020,1.000000,2.0,7.0,5.0,978
BkQqq0gRb,2018,1.000000,296.0,8.0,3.0,639
B1exrnCcF7,2019,1.000000,15.0,5.0,5.0,609
ByeTHsAqtX,2019,1.000000,112.0,8.0,5.0,799
ryykVe-0W,2018,1.000000,51.0,7.0,6.0,1044
ryeNPi0qKX,2019,1.000000,41.0,6.0,5.0,1455
rygBVTVFPB,2020,1.000000,34.0,5.0,6.0,1507
SkNksoRctQ,2019,1.000000,28.0,8.0,4.0,733
HJeuOiRqKQ,2019,1.000000,17.0,8.0,6.0,1748
HylTXn0qYX,2019,1.000000,4.0,7.0,6.0,1619
Byx83s09Km,2019,1.000000,11.0,8.0,6.0,1048
rJxGLlBtwH,2020,1.000000,30.0,6.0,4.0,1331
r1Oen--RW,2018,1.000000,444.0,8.0,5.0,925
ryZ283gAZ,2018,0.000000,153.0,8.0,7.0,1788
rkgc06VtwH,2020,0.000000,2.0,5.0,2.0,1113
rJl0r3R9KX,2019,0.000000,56.0,7.0,7.0,1123
ry80wMW0W,2018,0.000000,5.0,7.0,5.0,1332
rkeNr6EKwB,2020,0.000000,33.0,7.0,3.0,1446
rkemqsC9Fm,2019,0.000000,3.0,6.0,6.0,1291
rk3pnae0b,2018,0.000000,3.0,4.0,5.0,1215
r1l4eQW0Z,2018,0.000000,7.0,6.0,5.0,921
rJlnfaNYvB,2020,0.000000,6.0,6.0,6.0,1371
B1mvVm-C-,2018,0.000000,6.0,5.0,5.0,949
rJGY8GbR-,2018,0.000000,14.0,7.0,6.0,1736
rye5YaEtPr,2020,0.000000,2.0,6.0,7.0,1083
Ske7ToC5Km,2019,0.000000,8.0,8.0,7.0,1200
