paper_id,team_size,first_author_h_index,max_h_index,mean_h_index,top_institution_flag,industry_flag,us_team_flag
B12Js_yRb,3,7.0,35.0,23.333333333333332,0,0,0
B12QlQWRW,3,26.0,55.0,45.0,1,0,1
B13EC5u6W,1,20.0,20.0,20.0,0,0,1
B13njo1R-,4,20.0,49.0,20.5,0,0,0
B14TlG-RW,7,19.0,121.0,41.142857142857146,1,1,1
B14uJzW0b,3,14.0,41.0,19.0,1,0,1
B16yEqkCZ,6,45.0,91.0,47.166666666666664,1,1,1
B17JTOe0-,2,11.0,14.0,12.5,1,0,1
B18WgG-CZ,4,30.0,185.0,70.5,0,0,0
B1CEaMbR-,3,7.0,13.0,10.0,0,0,0
B1CNpYg0-,6,26.0,185.0,53.0,0,0,1
B1DmUzWAW,4,10.0,125.0,37.25,1,0,1
B1EA-M-0Z,6,14.0,50.0,28.166666666666668,1,1,1
B1EGg7ZCb,1,1.0,1.0,1.0,0,0,0
B1EVwkqTW,1,1.0,1.0,1.0,0,0,0
B1G5ViAqFm,5,9.0,61.0,28.8,0,0,0
B1G9doA9F7,4,18.0,78.0,48.0,0,0,1
B1GAUs0cKQ,4,7.0,26.0,13.5,0,0,0
B1GHJ3R9tQ,2,4.0,38.0,21.0,0,0,0
B1GIB3A9YX,4,6.0,32.0,13.5,1,0,1
B1GMDsR5tm,3,37.0,86.0,53.333333333333336,0,0,0
B1GSBsRcFX,6,11.0,106.0,41.333333333333336,1,0,1
B1Gi6LeRZ,3,5.0,46.0,25.333333333333332,0,0,0
B1IDRdeCW,2,8.0,8.0,5.0,0,0,0
B1KFAGWAZ,4,6.0,51.0,19.75,0,0,0
B1KJJf-R-,2,10.0,10.0,7.0,1,1,1
B1Lc-Gb0Z,2,9.0,83.0,46.0,0,0,0
B1MAJhR5YX,2,9.0,18.0,13.5,1,1,1
B1MB5oRqtQ,2,12.0,23.0,17.5,0,0,0
B1MIBs05F7,2,17.0,69.0,43.0,0,0,0
B1MX5j0cFX,3,17.0,17.0,10.0,0,0,0
B1MXz20cYQ,4,15.0,48.0,29.5,0,0,0
B1MbDj0ctQ,3,5.0,81.0,41.666666666666664,0,0,0
B1MhpiRqFm,5,9.0,76.0,27.0,0,0,1
B1NGT8xCZ,5,20.0,51.0,29.8,1,0,1
B1NOXfWR-,3,6.0,84.0,37.666666666666664,1,1,0
B1O3OgbRW,6,13.0,138.0,46.833333333333336,1,1,1
B1QRgziT-,4,17.0,27.0,18.25,0,0,0
B1QgVti6Z,2,29.0,111.0,70.0,0,0,0
B1VWtsA5tQ,4,32.0,41.0,23.25,1,1,0
B1VZqjAcYX,3,17.0,89.0,39.666666666666664,1,0,1
B1X0mzZCW,5,34.0,140.0,46.0,1,1,1
B1X4DWWRb,4,28.0,51.0,34.75,1,0,1
B1Yy1BxCZ,4,32.0,121.0,46.75,1,1,1
B1ZZTfZAW,3,40.0,89.0,47.333333333333336,0,0,0
B1ZvaaeAZ,4,40.0,40.0,26.0,0,0,1
B1ae1lZRb,2,40.0,40.0,28.5,0,0,1
B1al7jg0b,2,13.0,26.0,19.5,0,0,1
B1bgpzZAZ,4,5.0,28.0,12.0,0,0,0
B1e-kxSKDH,5,6.0,54.0,15.2,1,0,1
B1e0KsRcYQ,4,26.0,26.0,19.25,0,0,0
B1e0X3C9tQ,2,10.0,38.0,24.0,1,1,1
B1e3OlStPB,4,12.0,16.0,7.75,1,0,0
B1e4wo09K7,1,10.0,10.0,10.0,0,0,0
B1e5ef-C-,4,80.0,80.0,28.75,1,1,1
B1e7hs05Km,3,30.0,30.0,30.0,1,1,1
B1e8CsRctX,2,5.0,19.0,12.0,1,1,1
B1e9Y2NYvS,4,11.0,111.0,42.25,0,0,0
B1e9csRcFm,4,7.0,52.0,31.75,1,0,1
B1eB5xSFvr,7,32.0,94.0,32.714285714285715,1,0,1
B1eBoJStwr,5,6.0,48.0,31.8,0,0,0
B1eCCoR5tm,2,1.0,14.0,7.5,0,0,0
B1eCk1StPH,4,5.0,33.0,22.25,0,0,1
B1eP504YDr,7,3.0,76.0,39.0,1,1,1
B1ePui0ctQ,6,17.0,38.0,18.666666666666668,0,0,0
B1eQcCEtDB,6,38.0,70.0,38.0,1,0,1
B1eWOJHKvB,3,7.0,24.0,16.333333333333332,1,1,0
B1eWbxStPH,3,9.0,51.0,21.333333333333332,0,0,0
