paper_id,method,s2_citations,s2_title,title_sim,s2_year,s2_venue
ryykVe-0W,arxiv_batch,,,,,
rywHCPkAW,arxiv_batch,1017,Noisy Networks for Exploration,1.000,2017,International Conference on Learning Representations
rywDjg-RW,arxiv_batch,178,Neural-Guided Deductive Search for Real-Time Program Synthesis from Examples,1.000,2018,International Conference on Learning Representations
ryup8-WCW,arxiv_batch,564,Measuring the Intrinsic Dimension of Objective Landscapes,1.000,2018,International Conference on Learning Representations
rytNfI1AZ,arxiv_batch,,,,,
ryserbZR-,arxiv_batch,127,Classification and Disease Localization in Histopathology Using Only Global Labels: A Weakly-Supervised Approach,1.000,2018,arXiv.org
rylSzl-R-,arxiv_batch,,,,,
ryj38zWRb,arxiv_batch,462,Optimizing the Latent Space of Generative Networks,1.000,2017,International Conference on Machine Learning
ryj0790hb,arxiv_batch,307,Incremental Learning Through Deep Adaptation,1.000,2017,IEEE Transactions on Pattern Analysis and Machine Intelligence
ryiAv2xAZ,arxiv_batch,960,Training Confidence-calibrated Classifiers for Detecting Out-of-Distribution Samples,1.000,2017,International Conference on Learning Representations
rydeCEhs-,arxiv_batch,808,SMASH: One-Shot Model Architecture Search through HyperNetworks,1.000,2017,International Conference on Learning Representations
ryazCMbR-,arxiv_batch,243,Communication Algorithms via Deep Learning,1.000,2018,International Conference on Learning Representations
ryZERzWCZ,arxiv_batch,20,A Lagrangian Perspective on Latent Variable Generative Models,0.755,2018,Conference on Uncertainty in Artificial Intelligence
ryUlhzWCZ,arxiv_batch,,,,,
ryTp3f-0-,arxiv_batch,349,Reinforcement Learning on Web Interfaces Using Workflow-Guided Exploration,1.000,2018,International Conference on Learning Representations
ryRh0bb0Z,arxiv_batch,20,Multi-View Data Generation Without View Supervision,1.000,2017,International Conference on Learning Representations
ryCM8zWRb,arxiv_batch,975,Recurrent Neural Networks with Top-k Gains for Session-based Recommendations,1.000,2017,International Conference on Information and Knowledge Management
ryBnUWb0b,arxiv_batch,9,Predicting Floor-Level for 911 Calls with Neural Networks and Smartphone Sensor Data,1.000,2017,International Conference on Learning Representations
ry831QWAb,arxiv_batch,24,Normalized Gradient with Adaptive Stepsize Method for Deep Neural Network Training,0.606,2017,arXiv.org
ry80wMW0W,arxiv_batch,6,Hierarchical Subtask Discovery With Non-Negative Matrix Factorization,1.000,2017,International Conference on Learning Representations
ry1arUgCW,arxiv_batch,70,DORA The Explorer: Directed Outreaching Reinforcement Action-Selection,1.000,2018,International Conference on Learning Representations
ry0WOxbRZ,arxiv_batch,0,IVE-GAN: Invariant Encoding Generative Adversarial Networks,1.000,2017,arXiv.org
ry018WZAZ,arxiv_batch,481,Deep Active Learning for Named Entity Recognition,1.000,2017,Rep4NLP@ACL
rkrWCJWAW,arxiv_batch,88,Unbiasing Truncated Backpropagation Through Time,1.000,2017,arXiv.org
rkrC3GbRW,arxiv_batch,21,Learning a Generative Model for Validity in Complex Discrete Structures,1.000,2017,International Conference on Learning Representations
rkr1UDeC-,arxiv_batch,455,Large scale distributed neural network training through online distillation,1.000,2018,International Conference on Learning Representations
rknt2Be0-,arxiv_batch,84,Compositional Obverter Communication Learning From Raw Visual Input,1.000,2018,International Conference on Learning Representations
rkmoiMbCb,arxiv_batch,0,Tandem Blocks in Deep Convolutional Neural Networks,1.000,2018,arXiv.org
rkfOvGbCW,arxiv_batch,106,Memory-based Parameter Adaptation,1.000,2018,International Conference on Learning Representations
rkeZRGbRW,arxiv_batch,7,Variance Regularizing Adversarial Learning,1.000,2017,arXiv.org
rkdU7tCaZ,arxiv_batch,148,Dynamic Evaluation of Neural Sequence Models,1.000,2017,International Conference on Machine Learning
rkcya1ZAW,arxiv_batch,62,Continuous-Time Flows for Efficient Inference and Density Estimation,1.000,2017,International Conference on Machine Learning
rkaqxm-0b,arxiv_batch,23,Neural Compositional Denotational Semantics for Question Answering,1.000,2018,Conference on Empirical Methods in Natural Language Processing
rkZvSe-RZ,arxiv_batch,3051,Ensemble Adversarial Training: Attacks and Defenses,1.000,2017,International Conference on Learning Representations
rkZB1XbRZ,arxiv_batch,723,Scalable Private Learning with PATE,1.000,2018,International Conference on Learning Representations
rkQkBnJAb,arxiv_batch,345,Improving GANs Using Optimal Transport,1.000,2018,International Conference on Learning Representations
rkO3uTkAZ,arxiv_batch,,,,,
rkN2Il-RZ,arxiv_batch,53,SCAN: Learning Abstract Hierarchical Compositional Visual Concepts,0.926,2017,arXiv.org
rkLyJl-0-,arxiv_batch,21,Neumann Optimizer: A Practical Optimization Algorithm for Deep Neural Networks,1.000,2017,International Conference on Learning Representations
rkGZuJb0b,arxiv_batch,10,Compact Neural Networks based on the Multiscale Entanglement Renormalization Ansatz,1.000,2017,British Machine Vision Conference
rkA1f3NpZ,arxiv_batch,149,Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks,1.000,2017,arXiv.org
rk6cfpRjZ,arxiv_batch,144,Learning Intrinsic Sparse Structures within Long Short-term Memory,1.000,2017,International Conference on Learning Representations
rJzIBfZAb,arxiv_batch,15115,Towards Deep Learning Models Resistant to Adversarial Attacks,1.000,2017,International Conference on Learning Representations
rJwelMbR-,arxiv_batch,135,Divide-and-Conquer Reinforcement Learning,1.000,2017,International Conference on Learning Representations
rJvJXZb0W,arxiv_batch,578,An efficient framework for learning sentence representations,1.000,2018,International Conference on Learning Representations
rJma2bZCW,arxiv_batch,545,Three Factors Influencing Minima in SGD,1.000,2017,arXiv.org
rJm7VfZA-,arxiv_batch,50,Learning Parametric Closed-Loop Policies for Markov Potential Games,1.000,2018,International Conference on Learning Representations
rJlMAAeC-,arxiv_batch,14,Improving the Universality and Learnability of Neural Programmer-Interpreters with Combinator Abstraction,1.000,2018,International Conference on Learning Representations
rJl3yM-Ab,arxiv_batch,166,Evidence Aggregation for Answer Re-Ranking in Open-Domain Question Answering,1.000,2017,International Conference on Learning Representations
rJiaRbk0-,arxiv_batch,51,Towards Binary-Valued Gates for Robust LSTM Training,1.000,2018,International Conference on Machine Learning
rJg4YGWRb,arxiv_batch,385,Attention-based Graph Neural Network for Semi-supervised Learning,1.000,2018,arXiv.org
rJfHoM-C-,arxiv_batch,1,Few Shot Learning with Simplex,0.983,2018,arXiv.org
rJaE2alRW,arxiv_batch,163,Autoregressive Convolutional Neural Networks for Asynchronous Time Series,1.000,2017,International Conference on Machine Learning
rJXMpikCZ,arxiv_batch,27156,Graph Attention Networks,1.000,2017,International Conference on Learning Representations
rJSr0GZR-,arxiv_batch,18,Learning Priors for Adversarial Autoencoders,1.000,2018,Asia-Pacific Signal and Information Processing Association Annual Summit and Conference
rJNpifWAb,arxiv_batch,350,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,1.000,2018,International Conference on Learning Representations
rJ7yZ2P6-,arxiv_batch,24,Enhance word representation for out-of-vocabulary on Ubuntu dialogue corpus,1.000,2018,arXiv.org
r1wEFyWCW,arxiv_batch,90,Few-shot Autoregressive Density Estimation: Towards Learning to Learn Distributions,1.000,2017,International Conference on Learning Representations
r1uOhfb0W,arxiv_batch,0,Learning Sparse Structured Ensembles with SG-MCMC and Network Pruning,1.000,2018,arXiv.org
r1q7n9gAb,arxiv_batch,1142,The Implicit Bias of Gradient Descent on Separable Data,1.000,2017,Journal of machine learning research
r1lUOzWCW,arxiv_batch,2094,Demystifying MMD GANs,1.000,2018,International Conference on Learning Representations
r1l4eQW0Z,arxiv_batch,3,Implicit Variational Inference with Kernel Density Ratio Fitting,0.594,2017,arXiv.org
r1kNDlbCb,arxiv_batch,67,Learning to Encode Text as Human-Readable Summaries using Generative Adversarial Networks,1.000,2018,Conference on Empirical Methods in Natural Language Processing
r1gs9JgRZ,arxiv_batch,,,,,
r1drp-WCZ,arxiv_batch,47,State Space LSTM Models with Particle MCMC Inference,1.000,2017,arXiv.org
r1dHXnH6-,arxiv_batch,278,Natural Language Inference over Interaction Space,1.000,2017,International Conference on Learning Representations
r1ZdKJ-0W,arxiv_batch,778,Deep Gaussian Embedding of Graphs: Unsupervised Inductive Learning via Ranking,1.000,2017,International Conference on Learning Representations
r1YqWz-R-,arxiv_batch,58,Improving Conditional Sequence Generative Adversarial Networks by Stepwise Evaluation,1.000,2018,IEEE/ACM Transactions on Audio Speech and Language Processing
r1VVsebAZ,arxiv_batch,,,,,
r1TA9ZbA-,arxiv_batch,96,Learning to Search with MCTSnets,1.000,2018,International Conference on Machine Learning
